text_comment,image_name
white bear,1362851262.jpg
,2318659263.jpg
Bird and water surface,2696394827.jpg
,2860667542.jpg
,298920219.jpg
,3227148358.jpg
,3210457502.jpg
,3189521080.jpg
,3187924573.jpg
,3128856481.jpg
,3360994630.jpg
,3335501468.jpg
,3325578605.jpg
,3321334180.jpg
,3315110972.jpg
,3287969199.jpg
,3282634762.jpg
,3273969811.jpg
,3242088278.jpg
,3454315016.jpg
,3412450683.jpg
,3405113041.jpg
,3404012438.jpg
,3384528359.jpg
,3375070563.jpg
,3373870185.jpg
,3584196366.jpg
,3552206648.jpg
,3719461451.jpg
,3716272233.jpg
,3700554247.jpg
,492493570.jpg
,99679241.jpg
A bird is flying in the midst of the green field,3131990048.jpg
,3331102049.jpg
,3594029059.jpg
,3567061016.jpg
,3577309234.jpg
,3551281733.jpg
A buffalo in the midst of the lake,601816185.jpg
,3938776000.jpg
cat and human,771048251.jpg
,6878109611.jpg
,7092793359.jpg
,5090110064.jpg
,4789374589.jpg
,8125199349.jpg
,8238928026.jpg
,65757777.jpg
,4799726314.jpg
,4896937239.jpg
,4567311889.jpg
,4606967207.jpg
,43331469.jpg
,4089787993.jpg
,4329180364.jpg
,4409805003.jpg
,4442309833.jpg
,4442319130.jpg
,3522349685.jpg
,3421480658.jpg
,3393446245.jpg
,336187979.jpg
,298122528.jpg
,300222673.jpg
,2608116127.jpg
,2506892928.jpg
,233581449.jpg
,219123214.jpg
,226456619.jpg
,2111061687.jpg
,2120161244.jpg
,189022647.jpg
,1313987366.jpg
black cat,1313987366.jpg
,2120161244.jpg
,2218743570.jpg
,233581449.jpg
,2599444370.jpg
,4442309833.jpg
,3947306345.jpg
,43331469.jpg
,6878109611.jpg
Horses are running,4930690081.jpg
,4930768273.jpg
,4931289200.jpg
,4931423774.jpg
,4931356888.jpg
,2291956529.jpg
,2291958125.jpg
buffalos and the field,5410472318.jpg
,4062403088.jpg
,136310496.jpg
,2034882405.jpg
cattle is pulling a cart,6861028771.jpg
,3952964772.jpg
,2858318330.jpg
chickens and dogs,3265527323.jpg
,3281078518.jpg
A deer is lying down,4607606901.jpg
,3996888830.jpg
,3996889070.jpg
dogs and sandy,1067790824.jpg
,1057251835.jpg
,1541272333.jpg
,1526325728.jpg
,1131155939.jpg
,1117972841.jpg
,1115679311.jpg
,140430106.jpg
,2090997177.jpg
,1799271536.jpg
,2247889670.jpg
,2446315531.jpg
,2429978680.jpg
,2428275562.jpg
,2407470303.jpg
,2363520556.jpg
,240583223.jpg
,2502905671.jpg
,2497608431.jpg
,2479180530.jpg
,2480820830.jpg
,2464259416.jpg
,254527963.jpg
,252504549.jpg
,2714220101.jpg
,2701271123.jpg
,2658009523.jpg
,2591603141.jpg
,2913818905.jpg
,2768972186.jpg
,279901198.jpg
,278007543.jpg
,2967630001.jpg
,2953861572.jpg
,297724467.jpg
,3086810882.jpg
,308307853.jpg
,3363750526.jpg
,3298233193.jpg
,3296715418.jpg
,3296584432.jpg
,3280173193.jpg
,3259694057.jpg
,335588286.jpg
,3482974845.jpg
,3451085951.jpg
,3405720825.jpg
,426191845.jpg
,390360326.jpg
,7338940816.jpg
,878758390.jpg
A dog is lying down,760180310.jpg
,6942665758.jpg
,6942665770.jpg
,6068386039.jpg
,6099093979.jpg
,5518762299.jpg
,509200598.jpg
,522700240.jpg
,5133656004.jpg
,4922642099.jpg
,485741580.jpg
,458183774.jpg
,462288558.jpg
,374567836.jpg
,4447268988.jpg
,351876121.jpg
,3525890754.jpg
,3551170666.jpg
,340425915.jpg
,3477369101.jpg
,3486831913.jpg
,3310067561.jpg
,3365198533.jpg
,3081363964.jpg
,3086523890.jpg
,3112635165.jpg
,3183777589.jpg
,3205839744.jpg
,3195147187.jpg
,2953015871.jpg
,2981372647.jpg
,3033686219.jpg
,275002371.jpg
,2620113705.jpg
,2655196158.jpg
,2696866120.jpg
,2543247940.jpg
,244443352.jpg
,2300168895.jpg
,2095435987.jpg
,1084040636.jpg
,1469000260.jpg
,1319634306.jpg
,1557838421.jpg
A dolphin is under the sea,2736656254.jpg
,2735822661.jpg
,1496935683.jpg
The donkey is carrying someone,7760722986.jpg
,5721400077.jpg
,4163406887.jpg
,3645162492.jpg
,3395382573.jpg
,3367384342.jpg
,284105062.jpg
,152836785.jpg
A elephant is carrying someone,6210938762.jpg
,4084139686.jpg
,2401947932.jpg
,3163273640.jpg
,110201971.jpg
White goat,95021246.jpg
,1410585992.jpg
,2934431078.jpg
,2393298349.jpg
,324450575.jpg
A horse is jumping over the horizontal bar,6907789234.jpg
,6944134083.jpg
,7053876907.jpg
,7430281548.jpg
,7430283024.jpg
,7430282012.jpg
,7692621468.jpg
,7804907374.jpg
,3653837067.jpg
,3735158583.jpg
,3541962817.jpg
,3516935867.jpg
,3542771548.jpg
